name,elev_ft,elev_m,lat,lon,activities,season,link
Hurricane Divide South,9386,2861,45.21896,-117.32932,"Hiking, Scrambling","Summer, Fall",http://www.summitpost.org/hurricane-divide-south/687314
Hurwal Divide,9775,2979,45.259,-117.264,,,http://www.summitpost.org/hurwal-divide/151342
Illumination Rock,9543,2909,45.368,-121.709,,,http://www.summitpost.org/illumination-rock/150970
Indian Creek Butte,7886,2404,44.29778,-118.76596,"Hiking, Scrambling","Summer, Fall",http://www.summitpost.org/indian-creek-butte/219676
Indian Spring Butte,8529,2600,44.2854,-118.69766,Hiking,"Summer, Fall",http://www.summitpost.org/indian-spring-butte/204748
Ingle Mountain,6771,2064,44.31401,-119.13812,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/ingle-mountain/470426
Iron Mountain,5455,1663,44.4009,-122.149,,,http://www.summitpost.org/iron-mountain/151341
Ironside Mountain,7811,2381,44.24288,-118.1363,Scrambling,"Spring, Summer, Fall",http://www.summitpost.org/ironside-mountain/226837
Mount Jefferson,10497,3199,44.67426,-121.79958,Mountaineering,"Spring, Summer, Fall, Winter",http://www.summitpost.org/mount-jefferson/150576
Josephine  Mountain,4742,1445,42.1619,-123.7831,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/josephine-mountain/363989
Jupiter,7415,2260,42.64002,-122.23577,Scrambling,Summer,http://www.summitpost.org/jupiter/474604
Kelly Butte,593,181,45.49952,-122.55616,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/kelly-butte/991627
Kerby Peak,5545,1690,42.2203,-123.4612,Hiking,"Summer, Fall",http://www.summitpost.org/kerby-peak/580277
KigerMann (North Steens),9348,2849,42.7336,-118.5433,Hiking,"Summer, Fall",http://www.summitpost.org/kigermann-north-steens/312011
Kings Mountain,3226,983,45.6143,-123.5143,,,http://www.summitpost.org/kings-mountain/150870
Krag Peak,9048,2758,45.065,-117.288,,,http://www.summitpost.org/krag-peak/151967
Larch Mountain,4055,1236,45.5328,-122.0879,,,http://www.summitpost.org/larch-mountain/153640
Lava Butte,5016,1529,43.91785,-121.35605,Hiking,,http://www.summitpost.org/lava-butte/916498
Lee Peak,7508,2288,42.64128,-122.20573,Scrambling,Summer,http://www.summitpost.org/lee-peak/475707
Light Peak,8325,2537,42.3035,-120.149,,,http://www.summitpost.org/light-peak/154561
Little Belknap,6306,1922,44.28316,-121.82534,Hiking,"Spring, Summer",http://www.summitpost.org/little-belknap/944973
Little Brother,7810,2380,44.18,-121.78,,,http://www.summitpost.org/little-brother/151942
Little Cougar Rock,1683,513,45.57871,-122.09376,Trad Climbing,"Spring, Summer, Fall",http://www.summitpost.org/little-cougar-rock/397101
Llao Rock,8049,2453,42.972,-122.132,,"Summer, Fall",http://www.summitpost.org/llao-rock/229132
Lone Mountain,6903,2104,42.1189,-119.0016,Hiking,"Spring, Fall, Winter",http://www.summitpost.org/lone-mountain/615956
Long Mountain,2265,690,45.78838,-123.10843,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/long-mountain/752205
Lookout Mountain,6525,1989,45.3425,-121.5231,,,http://www.summitpost.org/lookout-mountain/150643
Lookout Mountain (Ochocos),6926,2111,44.32706,-120.37332,"Hiking, Skiing","Spring, Summer, Fall, Winter",http://www.summitpost.org/lookout-mountain-ochocos/209781
"Lookout Mountain (Linn County, OR)",5320,1622,44.2163,-122.1303,Hiking,"Summer, Fall",http://www.summitpost.org/lookout-mountain-linn-county-or/583139
Lost Lake Butte,4468,1362,45.49587,-121.79588,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/lost-lake-butte/249074
Lower Table Rock,2047,624,42.4553,-122.9491,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/lower-table-rock/154907
Lucifer Peak,7474,2278,42.63699,-122.22427,Scrambling,Summer,http://www.summitpost.org/lucifer-peak/474655
Maiden Peak (OR),7818,2383,43.627,-121.9638,,,http://www.summitpost.org/maiden-peak-or/155251
Main Wall,,,,,Trad Climbing,"Spring, Summer, Fall, Winter",http://www.summitpost.org/main-wall/853992
Marion Cohp - Mt. Jefferson (OR),9000,2743,44.684,-121.7994,"Hiking, Mountaineering","Summer, Fall",http://www.summitpost.org/marion-cohp-mt-jefferson-or/283878
Marion Peak,6119,1865,44.52575,-121.88137,Hiking,"Summer, Fall",http://www.summitpost.org/marion-peak/736453
Marten Buttes,5040,1536,44.7912,-122.1899,,,http://www.summitpost.org/marten-buttes/154195
Marys Peak,4097,1249,44.50407,-123.55182,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/marys-peak/195308
Matterhorn (Oregon),9826,2995,45.2277,-117.2981,,,http://www.summitpost.org/matterhorn-oregon/150682
Maxwell lake points,8684,2647,,,,,http://www.summitpost.org/maxwell-lake-points/153373
